CCG21CD,CMHS Q3 Mean,CMHS Q4 Mean,CMHS Q5 Mean,CMHS Q7 Mean,CMHS Q8 Mean,CMHS Q9 Mean,CMHS Q10 Mean,CMHS Q12 Mean,CMHS Q13 Mean,CMHS Q14 Mean,CMHS Q15 Mean,CMHS Q16 Mean,CMHS Q17 Mean,CMHS Q18 Mean,CMHS Q19 Mean,CMHS Q20 Mean,CMHS Q22 Mean,CMHS Q23 Mean,CMHS Q26 Mean,CMHS Q28 Mean,CMHS Q29 Mean,CMHS Q32 Mean,CMHS Q33 Mean,CMHS Q34 Mean,CMHS Q35 Mean,CMHS Q36 Mean,CMHS Q37 Mean,CMHS Q38 Mean
E38000024,6.267,6.887,6.141,7.149,6.83,6.984,7.766,9.535,8.006,6.013,7.233,6.651,6.878,7.666,7.121,6.714,7.745,5.676,7.924,8.122,7.02,5.259,4.412,3.388,7.109,6.714,8.334,2.128
E38000026,6.367,7.227,7.132,7.923,7.591,7.576,7.532,9.737,8.755,6.7,7.61,7.104,7.611,7.946,8.533,6.749,8.28,6.734,8.579,8.136,6.61,5.628,4.618,5.124,6.863,7.286,8.637,2.302
E38000034,5.948,6.507,6.248,7.098,6.559,6.441,7.664,9.833,8.143,6.152,7.198,6.705,6.706,7.679,7.292,6.109,7.868,6.205,7.588,7.584,6.913,5.142,4.396,4.157,6.52,6.536,7.996,1.985
E38000044,5.98,6.939,6.674,7.307,6.805,6.852,7.782,9.948,8.564,6.139,7.437,6.947,7.243,8.284,7.879,7.071,7.811,6.762,8.067,8.277,6.622,4.924,4.338,4.19,6.712,7.082,8.492,1.641
E38000045,6.247,7.462,6.985,7.462,6.855,7.444,7.971,9.9,8.829,6.639,7.614,6.693,7.259,8.022,8.266,6.871,8.162,6.372,8.108,7.983,7.373,5.308,4.426,4.452,6.83,7.302,8.569,1.639
E38000049,6.117,6.993,6.397,7.331,6.599,6.667,7.624,9.786,8.077,6.236,7.1,6.158,6.856,7.285,7.47,6.526,7.398,5.753,7.288,8.069,6.153,5.207,4.139,3.066,6.457,6.912,8.344,1.798
E38000052,5.711,6.818,6.439,6.81,6.549,6.916,7.464,9.896,8.348,6.077,7.079,6.484,6.584,7.742,8.321,6.108,7.734,5.477,7.272,8.395,7.371,5.003,4.264,4.424,6.163,6.789,8.168,2.55
E38000062,6.374,7.17,6.678,7.706,7.549,7.367,8.149,9.842,8.288,6.652,7.328,6.554,7.514,7.856,7.981,6.406,8.14,5.943,8.194,8.12,7.39,5.446,4.576,5.294,7.147,7.273,8.697,2.194
E38000089,5.786,6.467,6.627,7.377,6.917,7.069,8.278,9.724,7.842,6.248,7.678,6.685,6.953,7.988,6.814,6.3,7.791,5.693,7.262,7.635,6.567,4.902,4.338,3.502,6.541,6.842,8.321,2.086
E38000091,5.414,6.167,5.913,6.988,6.944,7.01,6.969,9.366,8.219,5.929,7.323,6.922,6.031,8.173,6.48,6.676,7.889,5.733,7.217,8.153,7.207,4.85,3.532,2.935,6.058,6.914,8.349,1.58
E38000106,5.748,6.917,6.295,7.061,6.627,6.798,7.1,9.581,8.308,5.907,7.332,6.699,6.463,7.284,7.359,6.989,7.604,5.568,7.097,7.528,6.131,4.483,3.621,3.465,6.171,6.805,8.202,1.717
E38000136,5.732,6.509,5.91,7.069,6.645,6.501,7.444,9.591,7.86,5.801,7.222,6.79,7.062,7.295,6.338,6.778,7.831,6.057,7.562,7.772,6.804,4.757,3.685,3.68,6.793,6.717,8.091,1.369
E38000150,6.243,7.12,6.911,7.364,7.23,7.063,7.872,9.477,8.309,6.349,7.501,6.82,6.442,7.803,6.904,6.642,7.724,6.126,7.611,8.029,7.464,4.753,4.028,4.257,6.424,7.246,8.536,1.725
E38000173,5.709,6.662,6.178,6.892,6.721,6.687,7.243,9.807,8.526,5.97,7.156,6.753,6.429,7.689,7.05,6.369,7.957,5.992,7.212,8.484,6.693,4.354,3.776,3.688,6.601,6.676,7.973,1.236
E38000175,5.528,6.663,6.341,6.878,6.688,6.81,6.921,9.513,8.223,5.804,7.272,6.683,5.785,7.359,7.161,6.529,7.467,5.705,6.708,8.048,7.137,4.404,2.976,3.553,6.111,6.736,8.292,1.628
E38000182,5.674,6.795,6.037,6.856,6.402,6.822,7.191,9.716,8.415,6.01,7.273,6.762,5.808,7.914,6.074,7.073,7.84,6.07,8.123,8.329,6.98,4.508,3.979,4.274,6.509,6.723,8.023,1.454
E38000190,5.726,6.936,6.884,7.174,6.949,7.043,6.875,9.86,8.566,5.748,7.254,6.462,6.808,7.872,6.855,6.956,7.999,5.751,7.438,8.248,6.428,5.091,4.358,3.652,6.852,6.96,8.451,1.819
E38000194,5.625,6.443,6.486,6.714,6.794,7.014,6.623,9.816,8.247,5.941,7.252,6.546,6.441,7.669,7.303,6.152,7.465,5.614,7.076,8.318,7.301,4.546,3.46,3.291,6.617,6.678,7.997,1.408
E38000201,5.269,6.275,6.241,6.607,6.264,6.419,6.554,9.64,8.095,5.507,6.958,5.952,5.71,7.57,6.051,6.433,7.423,5.212,7.47,7.698,5.927,3.934,2.65,2.282,5.877,6.504,8.122,1.343
E38000212,6.053,7.184,6.668,7.571,7.086,7.377,7.99,9.792,8.316,6.523,7.32,6.605,7.537,7.554,8.129,6.173,7.899,6.371,8.145,7.967,6.788,4.979,4.024,3.385,7.124,6.95,8.706,2.318
E38000225,6.299,7.052,6.958,7.359,7.175,7.308,7.631,9.457,8.058,5.983,7.022,7.006,6.603,7.703,7.391,5.814,7.653,5.901,7.245,7.978,6.798,4.62,3.921,4.625,6.78,7.042,8.513,2.346
E38000229,5.516,6.78,6.589,7.122,6.593,6.871,6.96,9.651,8.548,5.82,7.123,6.604,5.741,8.019,6.563,7.11,7.898,6.032,8.083,8.023,7.097,4.162,3.943,3.202,6.311,6.849,8.084,1.311
E38000230,5.474,6.385,6.382,6.885,6.753,6.71,7.408,9.498,8.071,5.615,7.266,6.937,6.515,7.303,7.294,6.21,7.524,5.605,6.954,7.768,7.183,3.786,3.917,4.524,6.467,6.642,8.123,1.472
E38000231,6.472,7.289,6.811,7.813,7.222,7.157,8.579,9.532,8.236,6.678,7.56,6.79,7.392,7.919,7.605,6.369,7.794,6.324,7.985,8.39,7.351,5.805,4.239,4.417,6.801,7.18,8.325,2.224
E38000233,6.04,7.352,6.371,7.301,7.071,7.16,7.64,9.706,8.652,6.306,7.049,6.787,7.518,7.716,7.15,7.431,7.871,5.89,7.583,7.705,6.568,4.737,4.644,4.319,6.587,6.895,8.404,1.899
E38000236,6.187,7.016,6.827,7.74,7.415,7.188,7.298,9.746,8.713,6.209,7.672,6.884,6.485,8.13,7.257,6.739,8.195,6.01,8.232,8.032,7.282,4.597,4.507,5.399,6.856,7.239,8.737,1.877
E38000237,5.748,6.732,6.234,6.991,6.678,6.858,7.26,9.65,7.999,5.799,7.278,6.765,6.605,7.429,7.493,6.458,7.896,5.641,7.56,7.78,6.284,4.975,3.987,3.347,6.809,6.651,8.063,2.422
E38000238,5.351,6.402,6.415,7.15,6.564,6.487,6.883,9.627,8.35,5.653,7.696,7.021,6.691,7.369,7.414,6.413,7.498,5.641,6.679,7.698,7.257,4.795,4.09,4.193,6.315,6.659,8.361,1.563
E38000239,5.094,6.336,6.506,6.554,6.479,6.792,7.251,9.602,8.148,5.62,6.877,6.321,6.198,7.056,7.055,6.038,7.649,5.534,6.981,7.973,6.76,3.595,4.079,3.521,5.872,6.33,7.752,1.439
E38000240,5.993,6.966,6.459,6.989,6.882,7.009,7.271,9.623,7.853,5.916,7.193,6.514,6.719,7.356,7.472,6.305,7.806,6.244,7.418,8.304,6.908,4.747,3.826,3.973,6.64,6.717,8.118,2.113
E38000242,5.619,6.581,5.967,6.811,6.586,6.66,6.701,9.663,8.304,5.658,6.632,6.081,6.442,7.679,7.56,5.96,7.557,5.288,7.744,8.271,6.075,4.346,3.905,4.513,5.846,6.748,8.424,2.352
E38000243,5.548,6.588,6.522,7.072,6.826,7.007,6.702,9.52,8.392,5.831,7.255,6.632,6.506,7.645,6.711,6.275,8.022,6.054,7.597,8.148,7.162,4.493,4.29,4.279,6.566,6.613,8.196,1.804
E38000244,6.516,7.388,6.828,7.445,7.489,7.5,7.975,9.711,8.295,6.533,7.954,7.193,7.198,8.349,7.641,7.304,8.272,6.644,8.399,8.942,7.426,5.414,4.962,4.528,6.556,7.384,8.708,3.01
E38000245,5.882,6.93,6.896,7.4,7.024,7.017,7.409,9.811,8.076,5.884,7.411,7.08,7.167,7.819,7.522,6.789,7.915,6.039,7.06,8.63,6.828,4.103,3.731,3.498,6.579,6.86,8.161,2.77
E38000246,6.541,7.096,6.963,7.568,7.078,7.081,7.348,9.515,8.179,6.079,7.08,6.44,6.583,7.634,7.4,6.608,7.749,5.883,7.863,7.519,6.024,4.674,3.887,3.482,7.078,6.943,8.54,1.792
E38000247,5.816,6.955,6.567,7.491,7.248,7.025,7.764,9.838,8.3,6.001,7.274,6.943,7.216,7.997,7.983,6.308,7.879,6.4,7.947,8.025,7.094,5.179,3.963,3.464,6.483,7.055,8.508,2.317
E38000248,5.767,6.303,5.99,6.62,6.413,6.313,7.338,9.482,7.826,5.644,7.05,6.238,6.111,7.449,6.667,6.954,7.81,5.984,7.275,7.927,5.927,3.858,3.364,3.46,6.053,6.676,8.167,1.349
E38000250,5.365,6.659,6.327,6.58,6.352,6.609,6.795,9.433,8.222,5.637,6.729,6.121,6.005,7.329,6.655,6.001,7.327,5.19,7.24,7.783,6.98,4.049,3.113,2.864,5.88,6.313,7.956,1.331
E38000251,5.595,6.66,6.56,6.786,6.628,6.597,6.38,9.415,8.17,5.441,6.925,6.352,6.424,7.307,7.167,6.343,7.562,5.45,7.074,8.653,6.916,3.955,3.208,2.821,6.084,6.66,8.113,1.468
E38000252,6.3,7.295,6.716,7.443,7.321,7.107,7.625,9.641,8.445,6.117,7.328,6.686,6.277,8.033,7.345,6.065,8.021,6.268,7.785,7.705,6.565,4.396,3.837,3.773,6.927,7.156,8.333,2.883
E38000253,5.695,6.69,6.207,7.108,6.883,6.854,7.244,9.507,8.294,5.944,7.205,6.74,6.719,7.763,7.508,5.873,7.715,5.647,7.381,8.149,7.106,4.54,4.222,4.178,6.455,6.811,8.335,1.696
E38000255,6.138,6.946,6.458,7.001,6.697,7.03,7.147,9.548,8.36,5.95,7.318,6.829,6.743,7.727,7.743,6.538,7.823,5.665,7.649,8.029,6.912,4.889,3.929,3.974,6.928,6.76,8.25,2.347
E38000256,5.284,6.127,5.752,6.311,6.142,6.589,6.62,9.742,7.646,5.273,7.164,6.726,6.124,7.844,7.326,6.284,7.509,5.466,7.202,7.343,7.01,4.224,3.856,3.65,5.992,6.055,7.702,2.237
